id,path,line_number
nmah_1333041,metadata/objects/NMAH/17.txt.bz2,75
nmah_1195220,metadata/objects/NMAH/1f.txt.bz2,520
nmah_1065733,metadata/objects/NMAH/32.txt.bz2,393
nmah_414524,metadata/objects/NMAH/43.txt.bz2,3302
nmah_1298355,metadata/objects/NMAH/2a.txt.bz2,4794
nmah_1333042,metadata/objects/NMAH/69.txt.bz2,4331
nmah_903687,metadata/objects/NMAH/71.txt.bz2,3133
nmah_1465552,metadata/objects/NMAH/d1.txt.bz2,137
nmah_1449233,metadata/objects/NMAH/aa.txt.bz2,4518
nmah_334375,metadata/objects/NMAH/bd.txt.bz2,2143
nmah_414787,metadata/objects/NMAH/cf.txt.bz2,2140
nmnhanthropology_8357155,metadata/objects/NMNHANTHRO/27.txt.bz2,785
nmnhanthropology_8394769,metadata/objects/NMNHANTHRO/03.txt.bz2,1232
nmnhanthropology_8426012,metadata/objects/NMNHANTHRO/04.txt.bz2,1441
nmnhanthropology_8413868,metadata/objects/NMNHANTHRO/0a.txt.bz2,1447
nmnhanthropology_8546811,metadata/objects/NMNHANTHRO/05.txt.bz2,1502
nmnhanthropology_8374581,metadata/objects/NMNHANTHRO/10.txt.bz2,1165
nmnhanthropology_8398089,metadata/objects/NMNHANTHRO/1f.txt.bz2,785
nmnhanthropology_12095812,metadata/objects/NMNHANTHRO/29.txt.bz2,600
nmnhanthropology_8399335,metadata/objects/NMNHANTHRO/31.txt.bz2,512
nmnhanthropology_8357154,metadata/objects/NMNHANTHRO/1b.txt.bz2,1020
nmnhanthropology_8372929,metadata/objects/NMNHANTHRO/16.txt.bz2,1183
nmnhanthropology_8375183,metadata/objects/NMNHANTHRO/16.txt.bz2,1201
nmnhanthropology_8381255,metadata/objects/NMNHANTHRO/28.txt.bz2,983
nmnhanthropology_8375191,metadata/objects/NMNHANTHRO/2a.txt.bz2,916
nmnhanthropology_8375184,metadata/objects/NMNHANTHRO/20.txt.bz2,915
nmnhanthropology_8496026,metadata/objects/NMNHANTHRO/3e.txt.bz2,186
nmnhanthropology_8394768,metadata/objects/NMNHANTHRO/2b.txt.bz2,1185
nmnhanthropology_8375175,metadata/objects/NMNHANTHRO/2c.txt.bz2,909
nmnhanthropology_8399337,metadata/objects/NMNHANTHRO/32.txt.bz2,495
nmnhanthropology_8457024,metadata/objects/NMNHANTHRO/48.txt.bz2,87
nmnhanthropology_8375185,metadata/objects/NMNHANTHRO/3a.txt.bz2,884
nmnhanthropology_8398091,metadata/objects/NMNHANTHRO/2c.txt.bz2,1195
nmnhanthropology_8373832,metadata/objects/NMNHANTHRO/47.txt.bz2,371
nmnhanthropology_8401922,metadata/objects/NMNHANTHRO/3e.txt.bz2,548
nmnhanthropology_8423883,metadata/objects/NMNHANTHRO/25.txt.bz2,1350
nmnhanthropology_8372075,metadata/objects/NMNHANTHRO/3b.txt.bz2,901
nmnhanthropology_8503062,metadata/objects/NMNHANTHRO/4d.txt.bz2,138
nmnhanthropology_8372949,metadata/objects/NMNHANTHRO/3e.txt.bz2,923
nmnhanthropology_8503142,metadata/objects/NMNHANTHRO/51.txt.bz2,654
nmnhanthropology_12095827,metadata/objects/NMNHANTHRO/59.txt.bz2,699
nmnhanthropology_8455856,metadata/objects/NMNHANTHRO/59.txt.bz2,721
nmnhanthropology_8398088,metadata/objects/NMNHANTHRO/54.txt.bz2,1106
nmnhanthropology_12095794,metadata/objects/NMNHANTHRO/5b.txt.bz2,682
nmnhanthropology_8366901,metadata/objects/NMNHANTHRO/58.txt.bz2,905
nmnhanthropology_8399339,metadata/objects/NMNHANTHRO/65.txt.bz2,739
nmnhanthropology_8548277,metadata/objects/NMNHANTHRO/71.txt.bz2,298
nmnhanthropology_8422730,metadata/objects/NMNHANTHRO/4c.txt.bz2,1563
nmnhanthropology_8357188,metadata/objects/NMNHANTHRO/6b.txt.bz2,1131
nmnhanthropology_8375179,metadata/objects/NMNHANTHRO/6b.txt.bz2,1186
nmnhanthropology_8439881,metadata/objects/NMNHANTHRO/65.txt.bz2,1330
nmnhanthropology_8457161,metadata/objects/NMNHANTHRO/58.txt.bz2,1891
nmnhanthropology_8375197,metadata/objects/NMNHANTHRO/61.txt.bz2,1173
nmnhanthropology_8375186,metadata/objects/NMNHANTHRO/76.txt.bz2,546
nmnhanthropology_8423485,metadata/objects/NMNHANTHRO/6f.txt.bz2,1387
nmnhanthropology_8457162,metadata/objects/NMNHANTHRO/8a.txt.bz2,442
nmnhanthropology_8456070,metadata/objects/NMNHANTHRO/71.txt.bz2,1300
nmnhanthropology_8375172,metadata/objects/NMNHANTHRO/85.txt.bz2,1018
nmnhanthropology_8375180,metadata/objects/NMNHANTHRO/95.txt.bz2,641
nmnhanthropology_8372957,metadata/objects/NMNHANTHRO/96.txt.bz2,578
nmnhanthropology_8439880,metadata/objects/NMNHANTHRO/76.txt.bz2,1446
nmnhanthropology_8375190,metadata/objects/NMNHANTHRO/97.txt.bz2,602
nmnhanthropology_8456068,metadata/objects/NMNHANTHRO/9e.txt.bz2,392
nmnhanthropology_8357108,metadata/objects/NMNHANTHRO/8f.txt.bz2,859
nmnhanthropology_8426011,metadata/objects/NMNHANTHRO/8d.txt.bz2,1274
nmnhanthropology_8375178,metadata/objects/NMNHANTHRO/9d.txt.bz2,599
